P1,P2,P3,P4,mean,variance,contained_before,ei,pi,ucb
2,1,5,7,-0.6555419205506391,0.9474696332359765,False,4.531605409806012e-05,0.0001875825517973047,1.252283895146205
2,1,6,1,-0.27575349801209953,0.9932172475369198,False,0.0002731730424466836,0.0009907249829149351,1.677588094781601
2,1,6,2,-1.15473877984883,0.8646493566104722,False,2.031862389196358e-06,1.020902195680333e-05,0.6677970821727626
2,1,6,3,-1.8877660644585836,0.6321202297096944,False,2.2598555236435122e-10,1.7676076390600568e-09,-0.32944867879776707
2,1,6,4,-1.1677354123985333,0.8645514054205553,False,1.9009816221733696e-06,9.57882317222112e-06,0.6546972143571459
2,1,6,5,-0.3700591129949526,0.9907611841949723,False,0.00019023685650117845,0.0007074984400386896,1.5808658382021468
2,1,6,6,-0.21549753945310093,0.9931680856489749,False,0.0003392476370710114,0.0012122338994995775,1.737795709864344
2,1,6,7,-0.1262265375003923,0.9975212302075692,False,0.0004766320039998641,0.0016591257799393857,1.8313427608809953
2,2,1,1,0.3271316019729663,0.9768254305322942,False,0.0019271526896289404,0.006056290355059508,2.2642873969292885
2,2,1,2,0.38782491307051825,0.9380662071898418,False,0.0019562421825779167,0.006253826803585136,2.2861597469553354
2,2,1,3,0.1721022733828615,0.7284725152745095,False,0.00023921266475363532,0.0010114859825482154,1.844974060065438
2,2,1,4,0.6162265079319008,0.3995759364234267,False,4.2408845962062084e-05,0.0002647808409703432,1.855182083150091
2,2,1,5,1.0319972269849422,0.5464428226643245,False,0.002005939233634924,0.008178829080956273,2.4808639384347115
2,2,1,6,0.47061313166083957,0.8219874607966351,False,0.00142909399298532,0.004987460915167788,2.2476182046407547
2,2,1,7,-0.11013495748603487,0.9719708450552118,False,0.00043571336493946136,0.001545042029609318,1.8222012447220854
2,2,2,1,0.531809885903487,0.9375736208841338,False,0.0030643201056575198,0.009400755160688726,2.4296462386980284
2,2,2,2,0.5921879355236828,0.8608491599776473,False,0.0026260515032506364,0.008497116155447052,2.4107142985358143
2,2,2,3,-0.0050911707683974974,0.7944024777897705,False,0.00019508696646274026,0.0008031051818461933,1.7418423021140652
2,2,2,4,0.12732053839977112,0.7482993230372337,False,0.00023333533032492398,0.0009760047218818861,1.822804740443493
2,2,2,5,0.3719812278679707,0.824979188637073,False,0.0010257375395592502,0.003674376595957294,2.1522171816303306
2,2,2,6,-0.393788150271991,0.8036221978316993,False,3.956025629081117e-05,0.0001783384302821538,1.3632534073441787
2,2,2,7,-1.065260279606078,0.6266834985606173,False,7.544284133033695e-08,5.012418792539558e-07,0.48634125689434304
2,2,3,1,0.2660045516574582,0.9767703299125647,False,0.0015873260635769597,0.005073667167971779,2.2031057104491483
2,2,3,2,0.30873012641815145,0.9496651672284009,False,0.0016022000914105144,0.005183320300794976,2.218765127779285
2,2,3,3,-0.09207979725901685,0.9425252174940318,False,0.00038993002469824706,0.001413752539523879,1.8107614666211505
2,2,3,4,-0.1965739191561444,0.9668765890390147,False,0.0003097596241762343,0.0011278471828214634,1.730691787603637
2,2,3,5,-0.4580286010565809,0.9584546173670275,False,0.00010912164887851798,0.0004268445269822676,1.4608250301714951
2,2,3,6,-1.5079663299604964,0.609493040875466,False,2.1737837981170564e-09,1.6314614802501064e-08,0.022206361544351516
2,2,3,7,-2.069196354668817,1.0199999725454722e-08,True,0.0,0.0,-2.068998404374689
2,2,4,1,-0.20409670676141586,0.992092867046935,False,0.0003510948856519369,0.0012522006854435088,1.7481389240084728
2,2,4,2,-0.1714946891528851,0.994120732953052,False,0.0003988677145332414,0.0014085277202488225,1.7827351355382757
2,2,4,3,-0.21867504648288272,0.9944927519692399,False,0.00033806707870004133,0.0012075591713753542,1.7359203991183372
2,2,4,4,-0.26028290474063653,0.9952667420540555,False,0.00029252435516324317,0.0010549676092466926,1.6950730005295165
2,2,4,5,-0.6769318222867481,0.9473106692776759,False,4.141327902498922e-05,0.00017229781641750467,1.2307339417026149
2,2,4,6,-1.489689381420748,0.761593295944895,False,7.02390606528354e-08,4.257406574264537e-07,0.22078914978094732
2,2,4,7,-1.5865536815629766,0.6118085023674327,False,1.280387486637597e-09,9.731188877427947e-09,-0.05347718552804981
2,2,5,1,-0.5091865623020823,0.9807712523078567,False,0.00010481498003129023,0.00040658550135402193,1.4318777959472424
2,2,5,2,-0.6695299429924243,0.9749433858970482,False,5.317858573621265e-05,0.00021524078929920987,1.2657587980646046
2,2,5,3,-0.7572072588452895,0.9498575128482992,False,3.020879059567502e-05,0.00012768936788011746,1.1530211624064797
2,2,5,4,-0.49998747881837446,0.9807667940564715,False,0.0001086151268663764,0.0004204164914377024,1.4410724677178834
2,2,5,5,-0.4359983485667565,0.9807841802140526,False,0.0001388988113241816,0.0005295296742313962,1.5050788025816217
